Customer_ID,Customer_Name,Gender,Age,City,State,Region,Signup_Date,Customer_Segment,Acquisition_Channel
CUST1754,Arjun Patel,Male,27,Jaipur,Rajasthan,North,2025-01-01,Standard,Referral
CUST1408,Suresh Joshi,Male,33,Indore,Madhya Pradesh,Central,2025-01-02,Standard,Organic Search
CUST1502,Kavita Das,Female,47,Kolkata,West Bengal,East,2025-01-03,Standard,Online
CUST1556,Karthik Bose,Male,29,Mumbai,Maharashtra,West,2025-01-03,Standard,Social Media
CUST1919,Arjun Singh,Male,39,Nagpur,Maharashtra,Central,2025-01-03,Enterprise,Online
CUST1318,Varun Gupta,Male,23,Chennai,Tamil Nadu,South,2025-01-04,Standard,Social Media
CUST1320,Sunita Das,Female,39,Bengaluru,Karnataka,South,2025-01-04,Standard,Referral
CUST1341,Meera Reddy,Female,35,Pune,Maharashtra,West,2025-01-04,Enterprise,Online
CUST1657,Neha Kumar,Female,35,Lucknow,Uttar Pradesh,North,2025-01-04,Standard,Online
CUST1039,Sneha Gupta,Female,27,Hyderabad,Telangana,South,2025-01-05,Standard,Email Campaign
CUST1812,Sneha Iyer,Female,27,Bhubaneswar,Odisha,East,2025-01-07,Standard,Social Media
CUST1127,Varun Bose,Male,23,Patna,Bihar,East,2025-01-08,Premium,Referral
CUST1145,Tanvi Mehta,Female,30,Kolkata,West Bengal,East,2025-01-08,Standard,Online
CUST1771,Sunita Sharma,Female,33,Kochi,Kerala,South,2025-01-08,Enterprise,Retail
CUST1837,Aditya Choudhury,Male,36,New Delhi,Delhi,North,2025-01-08,Standard,Online
CUST1834,Ritu Iyer,Female,47,Patna,Bihar,East,2025-01-09,Standard,Online
CUST1843,Pradeep Bose,Male,28,Chandigarh,Punjab,North,2025-01-09,Premium,Online
CUST1020,Karthik Rao,Male,33,Bhopal,Madhya Pradesh,Central,2025-01-10,Standard,Referral
CUST1503,Priya Choudhury,Female,26,Jaipur,Rajasthan,North,2025-01-10,Premium,Retail
CUST1453,Rohan Das,Male,49,Pune,Maharashtra,West,2025-01-11,Standard,Email Campaign
CUST1292,Manoj Das,Male,32,Pune,Maharashtra,West,2025-01-12,Standard,Social Media
CUST1769,Anil Das,Male,37,Pune,Maharashtra,West,2025-01-12,Standard,Online
CUST1878,Vikram Singh,Male,35,Hyderabad,Telangana,South,2025-01-12,Premium,Online
CUST1567,Sunita Bose,Female,47,New Delhi,Delhi,North,2025-01-13,Standard,Online
CUST1208,Ananya Rao,Female,20,Lucknow,Uttar Pradesh,North,2025-01-15,Standard,Online
CUST1011,Sanjay Rao,Male,42,Lucknow,Uttar Pradesh,North,2025-01-17,Premium,Referral
CUST1151,Sunita Sharma,Female,40,Mumbai,Maharashtra,West,2025-01-17,Premium,Online
CUST1369,Amit Reddy,Male,48,Pune,Maharashtra,West,2025-01-17,Standard,Retail
CUST1550,Pooja Mehta,Female,18,Nagpur,Maharashtra,Central,2025-01-17,Standard,Referral
CUST1633,Rahul Iyer,Male,37,Nagpur,Maharashtra,Central,2025-01-17,Standard,Referral
CUST1807,Aishwarya Joshi,Female,34,Indore,Madhya Pradesh,Central,2025-01-17,Standard,Online
CUST1227,Rahul Verma,Male,41,Patna,Bihar,East,2025-01-18,Standard,Online
CUST1971,Sunita Rao,Female,45,Bhubaneswar,Odisha,East,2025-01-18,Standard,Online
